Time,Throughput
3.0,1.031168
3.5,2.404032
4.0,3.301568
4.5,2.222912
5.0,1.326976
5.5,1.155392
6.0,1.790528
6.5,1.674304
7.0,1.649984
7.5,1.67296
8.0,1.651328
8.5,1.628352
9.0,1.560768
9.5,0.83776
10.0,1.609408
10.5,1.35264
11.0,1.351296
11.5,1.356672
12.0,1.359488
12.5,1.35264
13.0,1.351296
13.5,1.356672
14.0,1.086464
14.5,1.448576
15.0,1.1472
15.5,1.375616
16.0,1.356672
16.5,1.362176
17.0,1.355328
17.5,1.355328
18.0,1.35264
18.5,1.3568
19.0,1.337856
19.5,1.333824
20.0,1.327104
20.5,1.33248
21.0,1.332608
21.5,1.333824
22.0,1.327104
22.5,1.33248
23.0,1.332608
23.5,1.333824
24.0,1.327104
24.5,1.150016
25.0,1.510912
25.5,1.33664
26.0,1.327104
26.5,1.33248
27.0,1.327104
27.5,1.333824
28.0,1.332608
28.5,1.335168
29.0,1.564992
29.5,1.351296
30.0,1.359488
30.5,1.358016
31.0,1.35264
31.5,1.356672
32.0,1.353984
32.5,1.36352
33.0,0.1392
