Time,Throughput
3.0,1.072768
3.5,0.891392
4.0,1.071936
4.5,0.95744
5.0,1.001472
5.5,0.979456
6.0,0.95744
6.5,0.979456
7.0,1.186432
7.5,1.071936
8.0,1.093952
8.5,0.979456
9.0,1.071936
9.5,1.093952
10.0,1.001472
10.5,1.001472
11.0,1.120384
11.5,1.06752
12.0,0.983872
12.5,0.684416
13.0,1.230464
13.5,0.979456
14.0,1.093952
14.5,1.182016
15.0,1.027904
15.5,1.137984
16.0,1.25248
16.5,0.891392
17.0,1.093952
17.5,1.411008
18.0,0.913408
18.5,1.137984
19.0,1.1424
19.5,0.433408
20.0,1.093952
20.5,0.138368
21.0,0.001856
21.5,0.001856
22.0,0.001856
22.5,0.001856
23.0,0.798912
23.5,0.138368
24.0,0.226432
24.5,0.160384
25.0,0.028288
25.5,0.138368
26.0,0.001856
26.5,0.001856
27.0,0.001856
27.5,0.001856
28.0,0.001856
28.5,0.001856
29.0,0.1824
29.5,1.617984
30.0,2.093568
30.5,1.481472
31.0,1.366976
31.5,1.525504
32.0,1.230464
32.5,0.116352
33.0,0.136512
