# mahimahi mm-link (Downlink) [/usr/share/mahimahi/traces/ATT-LTE-driving.down] > /pantheon/src/experiments/data/trail/cubic_mm_acklink_run1.log
# command line: 'mm-link' '/usr/share/mahimahi/traces/ATT-LTE-driving.up' '/usr/share/mahimahi/traces/ATT-LTE-driving.down' '--uplink-log=/pantheon/src/experiments/data/trail/cubic_mm_datalink_run1.log' '--downlink-log=/pantheon/src/experiments/data/trail/cubic_mm_acklink_run1.log' '--uplink-queue=codel' '--downlink-queue=codel' '--uplink-queue-args="target=512,interval=100,packets=100"' '--downlink-queue-args="target=512,interval=100,packets=100"' 'python' '/pantheon/src/experiments/tunnel_manager.py'
# queue: codel [packets=100]
# init timestamp: 1744951481554
# base timestamp: 32
32 # 1504
45 + 80
45 + 52
45 + 80
103 # 1504
103 - 80 58
103 - 52 58
103 - 80 58
105 # 1504
110 # 1504
122 # 1504
125 # 1504
140 # 1504
141 # 1504
147 # 1504
174 # 1504
174 # 1504
174 # 1504
177 # 1504
193 # 1504
197 # 1504
224 # 1504
224 # 1504
229 # 1504
232 # 1504
238 # 1504
242 # 1504
258 # 1504
268 # 1504
272 # 1504
272 # 1504
279 # 1504
287 # 1504
299 # 1504
306 # 1504
313 # 1504
321 # 1504
334 # 1504
339 # 1504
352 # 1504
352 # 1504
364 # 1504
370 # 1504
380 # 1504
382 # 1504
391 # 1504
406 # 1504
419 # 1504
428 # 1504
428 # 1504
435 # 1504
444 # 1504
452 # 1504
457 # 1504
458 # 1504
474 # 1504
478 # 1504
489 # 1504
499 + 80
502 # 1504
502 - 80 3
502 # 1504
509 # 1504
517 # 1504
519 # 1504
521 # 1504
524 # 1504
525 # 1504
532 # 1504
551 # 1504
554 # 1504
554 # 1504
559 # 1504
560 # 1504
564 # 1504
565 # 1504
568 # 1504
570 # 1504
577 # 1504
581 # 1504
582 # 1504
583 # 1504
586 # 1504
595 # 1504
597 # 1504
600 # 1504
619 # 1504
619 # 1504
619 # 1504
621 # 1504
623 # 1504
623 # 1504
625 # 1504
636 # 1504
638 # 1504
642 # 1504
642 # 1504
650 # 1504
666 # 1504
667 # 1504
667 # 1504
668 # 1504
675 # 1504
675 # 1504
677 # 1504
681 # 1504
684 # 1504
685 # 1504
691 # 1504
705 # 1504
708 # 1504
708 # 1504
708 # 1504
714 # 1504
714 # 1504
719 # 1504
723 # 1504
725 # 1504
728 # 1504
733 # 1504
735 # 1504
743 # 1504
750 # 1504
755 # 1504
756 # 1504
759 # 1504
765 # 1504
767 # 1504
767 # 1504
772 # 1504
773 # 1504
781 # 1504
784 # 1504
785 # 1504
791 # 1504
796 # 1504
800 # 1504
804 # 1504
812 # 1504
812 # 1504
813 # 1504
816 # 1504
826 # 1504
827 # 1504
836 # 1504
837 # 1504
839 # 1504
844 # 1504
859 # 1504
864 + 40
867 # 1504
867 - 40 3
867 # 1504
867 # 1504
868 # 1504
868 # 1504
872 # 1504
873 # 1504
876 # 1504
899 # 1504
899 + 80
904 # 1504
904 - 80 5
904 # 1504
907 # 1504
907 # 1504
911 # 1504
911 # 1504
923 # 1504
926 # 1504
926 # 1504
926 # 1504
927 # 1504
927 # 1504
928 # 1504
928 # 1504
928 # 1504
928 # 1504
945 # 1504
945 # 1504
945 # 1504
946 # 1504
948 # 1504
948 # 1504
948 # 1504
950 # 1504
958 # 1504
958 # 1504
958 # 1504
958 # 1504
958 # 1504
958 # 1504
958 # 1504
960 # 1504
963 # 1504
963 # 1504
977 # 1504
978 # 1504
980 # 1504
982 # 1504
982 # 1504
984 # 1504
984 # 1504
984 # 1504
985 # 1504
988 # 1504
992 # 1504
992 # 1504
993 # 1504
994 # 1504
994 # 1504
995 # 1504
998 # 1504
999 # 1504
1002 # 1504
1002 # 1504
1016 # 1504
1016 # 1504
1017 # 1504
1017 # 1504
1017 # 1504
1017 # 1504
1018 # 1504
1018 # 1504
1020 # 1504
1020 # 1504
1021 # 1504
1024 # 1504
1025 # 1504
1027 # 1504
1030 # 1504
1032 # 1504
1033 # 1504
1036 # 1504
1037 # 1504
1040 # 1504
1041 # 1504
1043 # 1504
1045 # 1504
1047 # 1504
1047 # 1504
1049 # 1504
1053 # 1504
1055 # 1504
1058 # 1504
1059 # 1504
1062 # 1504
1062 # 1504
1063 # 1504
1065 # 1504
1068 # 1504
1071 # 1504
1072 # 1504
1082 # 1504
1083 # 1504
1083 # 1504
1086 # 1504
1089 # 1504
1089 # 1504
1092 # 1504
1092 # 1504
1096 # 1504
1099 # 1504
1099 # 1504
1102 # 1504
