# mahimahi mm-link (Uplink) [/usr/share/mahimahi/traces/ATT-LTE-driving.up] > /pantheon/src/experiments/data/trail/cubic_mm_datalink_run1.log
# command line: 'mm-link' '/usr/share/mahimahi/traces/ATT-LTE-driving.up' '/usr/share/mahimahi/traces/ATT-LTE-driving.down' '--uplink-log=/pantheon/src/experiments/data/trail/cubic_mm_datalink_run1.log' '--downlink-log=/pantheon/src/experiments/data/trail/cubic_mm_acklink_run1.log' '--uplink-queue=codel' '--downlink-queue=codel' '--uplink-queue-args="target=512,interval=100,packets=100"' '--downlink-queue-args="target=512,interval=100,packets=100"' 'python' '/pantheon/src/experiments/tunnel_manager.py'
# queue: codel [packets=100]
# init timestamp: 1744951481554
# base timestamp: 32
62 + 40
771 + 80
772 + 52
774 + 80
789 + 80
863 # 1504
863 - 40 801
863 - 80 92
863 - 52 91
863 - 80 89
863 - 80 74
912 # 1504
912 # 1504
982 # 1504
987 + 80
1063 # 1504
1063 - 80 76
1064 # 1504
1064 # 1504
1113 # 1504
1114 # 1504
1114 # 1504
1124 # 1504
1134 # 1504
1153 # 1504
1164 # 1504
1174 # 1504
1223 # 1504
1224 # 1504
1224 # 1504
1274 # 1504
1285 # 1504
1285 # 1504
1285 # 1504
1286 # 1504
1295 # 1504
1305 # 1504
1315 # 1504
1325 # 1504
1325 # 1504
1335 # 1504
1385 # 1504
1385 # 1504
1386 # 1504
1415 # 1504
1415 # 1504
1415 # 1504
1464 # 1504
1464 # 1504
1464 # 1504
1514 # 1504
1514 # 1504
1515 # 1504
1524 # 1504
1534 # 1504
1544 # 1504
1554 # 1504
1564 # 1504
1574 # 1504
1584 # 1504
1594 # 1504
1604 # 1504
1614 # 1504
1665 # 1504
1665 # 1504
1683 # 1504
1695 # 1504
1715 # 1504
1744 # 1504
1744 # 1504
1744 # 1504
1745 # 1504
1754 # 1504
1765 # 1504
1775 # 1504
1785 # 1504
1795 # 1504
1795 # 1504
1845 # 1504
1845 # 1504
1865 # 1504
1875 # 1504
1895 # 1504
1895 # 1504
1925 # 1504
1945 # 1504
1945 # 1504
1945 # 1504
1955 # 1504
1955 # 1504
1965 # 1504
1975 # 1504
1985 # 1504
1994 # 1504
2005 # 1504
2015 # 1504
2015 # 1504
2024 # 1504
2035 # 1504
2085 # 1504
2085 # 1504
2086 # 1504
2086 # 1504
2115 # 1504
2115 # 1504
2115 # 1504
2125 # 1504
2175 # 1504
2175 # 1504
2175 # 1504
2176 # 1504
2176 # 1504
2185 # 1504
2195 # 1504
2205 # 1504
2205 # 1504
2215 # 1504
2225 # 1504
2275 # 1504
2285 # 1504
2285 # 1504
2285 # 1504
2286 # 1504
2295 # 1504
2345 # 1504
2345 # 1504
2365 # 1504
2365 # 1504
2366 # 1504
2370 # 1504
2375 # 1504
2425 # 1504
2435 # 1504
2435 # 1504
2435 # 1504
2436 # 1504
2446 # 1504
2455 # 1504
2465 # 1504
2475 # 1504
2525 # 1504
2525 # 1504
2525 # 1504
