# mahimahi mm-link (Uplink) [/usr/share/mahimahi/traces/ATT-LTE-driving.up] > /pantheon/src/experiments/data/trail/fillp_mm_datalink_run1.log
# command line: 'mm-link' '/usr/share/mahimahi/traces/ATT-LTE-driving.up' '/usr/share/mahimahi/traces/ATT-LTE-driving.down' '--uplink-log=/pantheon/src/experiments/data/trail/fillp_mm_datalink_run1.log' '--downlink-log=/pantheon/src/experiments/data/trail/fillp_mm_acklink_run1.log' '--uplink-queue=codel' '--downlink-queue=codel' '--uplink-queue-args="target=512,interval=100,packets=100"' '--downlink-queue-args="target=512,interval=100,packets=100"' 'python' '/pantheon/src/experiments/tunnel_manager.py'
# queue: codel [packets=100]
# init timestamp: 1744951549769
# base timestamp: 33
65 + 40
149 + 80
149 + 52
153 + 80
261 + 80
716 + 80
864 # 1504
864 - 40 799
864 - 80 715
864 - 52 715
864 - 80 711
864 - 80 603
864 - 80 148
913 # 1504
913 # 1504
983 # 1504
1064 # 1504
1065 # 1504
1065 # 1504
1114 # 1504
1115 # 1504
1115 # 1504
1125 # 1504
1135 # 1504
1154 # 1504
1165 # 1504
1175 # 1504
1224 # 1504
1225 # 1504
1225 # 1504
1275 # 1504
1286 # 1504
1286 # 1504
1286 # 1504
1287 # 1504
1296 # 1504
1306 # 1504
1316 # 1504
1326 # 1504
1326 # 1504
1336 # 1504
1386 # 1504
1386 # 1504
1387 # 1504
1416 # 1504
1416 # 1504
1416 # 1504
1465 # 1504
1465 # 1504
1465 # 1504
1515 # 1504
1515 # 1504
1516 # 1504
1525 # 1504
1535 # 1504
1545 # 1504
1555 # 1504
1565 # 1504
1575 # 1504
1585 # 1504
1595 # 1504
1605 # 1504
1615 # 1504
1666 # 1504
1666 # 1504
1684 # 1504
1696 # 1504
1716 # 1504
1745 # 1504
1745 # 1504
1745 # 1504
1746 # 1504
1755 # 1504
1766 # 1504
1776 # 1504
1786 # 1504
1796 # 1504
1796 # 1504
1846 # 1504
1846 # 1504
1866 # 1504
1876 # 1504
1896 # 1504
1896 # 1504
1926 # 1504
1946 # 1504
1946 # 1504
1946 # 1504
1956 # 1504
1956 # 1504
1966 # 1504
1976 # 1504
1986 # 1504
1995 # 1504
2006 # 1504
2016 # 1504
2016 # 1504
2025 # 1504
2036 # 1504
2086 # 1504
2086 # 1504
2087 # 1504
2087 # 1504
2116 # 1504
2116 # 1504
2116 # 1504
2126 # 1504
2176 # 1504
2176 # 1504
2176 # 1504
2177 # 1504
2177 # 1504
2186 # 1504
2196 # 1504
2206 # 1504
2206 # 1504
2216 # 1504
2226 # 1504
2276 # 1504
2286 # 1504
2286 # 1504
2286 # 1504
2287 # 1504
2296 # 1504
2346 # 1504
2346 # 1504
2366 # 1504
2366 # 1504
2367 # 1504
2371 # 1504
2376 # 1504
2426 # 1504
2436 # 1504
2436 # 1504
2436 # 1504
2437 # 1504
2447 # 1504
2456 # 1504
2466 # 1504
2476 # 1504
2526 # 1504
2526 # 1504
2526 # 1504
2546 # 1504
2556 # 1504
2556 # 1504
2566 # 1504
2566 # 1504
2576 # 1504
2586 # 1504
2636 # 1504
2636 # 1504
2656 # 1504
2656 # 1504
2656 # 1504
2657 # 1504
2666 # 1504
2716 # 1504
2726 # 1504
2726 # 1504
2726 # 1504
2727 # 1504
2776 # 1504
2776 # 1504
2776 # 1504
2777 # 1504
2777 # 1504
2826 # 1504
2826 # 1504
2827 # 1504
2827 # 1504
2836 # 1504
2850 # 1504
2850 # 1504
2856 # 1504
2866 # 1504
2876 # 1504
2886 # 1504
2896 # 1504
2896 # 1504
2946 # 1504
2946 # 1504
2947 # 1504
2948 # 1504
2955 # 1504
2965 # 1504
2975 # 1504
2985 # 1504
2996 # 1504
3005 # 1504
3015 # 1504
3066 # 1504
3066 # 1504
3086 # 1504
3086 # 1504
3086 # 1504
3087 # 1504
3095 # 1504
3105 # 1504
3115 # 1504
3136 # 1504
3185 # 1504
3185 # 1504
3186 # 1504
3186 # 1504
3235 # 1504
3236 # 1504
3236 # 1504
3265 # 1504
3266 # 1504
3266 # 1504
3276 # 1504
3286 # 1504
3296 # 1504
3296 # 1504
3306 # 1504
3356 # 1504
3356 # 1504
3356 # 1504
3357 # 1504
3406 # 1504
3415 # 1504
3416 # 1504
3416 # 1504
3436 # 1504
3436 # 1504
3450 # 1504
3456 # 1504
3465 # 1504
3475 # 1504
3484 # 1504
3494 # 1504
3504 # 1504
3555 # 1504
3567 # 1504
3567 # 1504
3568 # 1504
3575 # 1504
3575 # 1504
3586 # 1504
3595 # 1504
3647 # 1504
3655 # 1504
3655 # 1504
3674 # 1504
3675 # 1504
3675 # 1504
3687 # 1504
3735 # 1504
3735 # 1504
3736 # 1504
3736 # 1504
3736 # 1504
3746 # 1504
3755 # 1504
3806 # 1504
3806 # 1504
3807 # 1504
3807 # 1504
3835 # 1504
3835 # 1504
3835 # 1504
3886 # 1504
3887 # 1504
3887 # 1504
3887 # 1504
3887 # 1504
3895 # 1504
3906 # 1504
3906 + 100
3915 # 1504
3915 - 100 9
3915 # 1504
3919 + 236
3926 # 1504
3926 - 236 7
3935 # 1504
3954 + 1380
3959 + 1380
3959 + 1380
3959 + 1380
3961 + 1380
3963 + 1380
3966 + 280
3966 + 1380
3966 + 1380
3966 + 120
3968 + 1380
3970 + 1380
3974 + 1380
3974 + 1380
3976 + 280
3976 + 1380
3980 + 1380
3980 + 1380
3980 + 1380
3982 + 1380
3984 + 1380
3985 # 1504
3985 - 1380 31
3985 # 1504
3985 - 1380 26
3986 # 1504
3986 - 1380 27
3991 + 280
3991 + 1380
3991 + 1380
3991 + 1380
3991 + 1380
3993 + 1380
3995 + 1380
3999 + 280
3999 + 1380
3999 + 1380
4001 + 1380
4003 + 1380
4004 + 1380
4006 + 1380
4010 + 280
4010 + 1380
4010 + 1380
4012 + 1380
4015 # 1504
4015 - 1380 56
4015 # 1504
4015 - 1380 54
4017 + 1380
4017 + 1380
4017 + 1380
4019 + 280
4019 + 1380
4021 + 1380
4024 + 1380
4024 + 1380
4026 + 1380
4028 + 1380
4032 + 280
4032 + 1380
4032 + 1380
4035 # 1504
4035 - 1380 72
4035 - 280 69
4035 + 1380
4038 + 1380
4050 # 1504
4050 - 1380 84
4050 # 1504
4050 - 1380 84
4050 - 120 84
4055 # 1504
4055 - 1380 87
4066 # 1504
4066 - 1380 96
4066 # 1504
4066 - 1380 92
4115 # 1504
4115 - 1380 141
4115 - 280 139
4116 # 1504
4116 - 1380 140
4116 # 1504
4116 - 1380 136
4117 # 1504
4117 - 1380 137
4126 # 1504
4126 - 1380 146
4134 # 1504
4134 - 1380 152
4134 - 1380 150
4135 # 1504
4135 - 280 144
4146 # 1504
4146 - 1380 155
4146 - 1380 155
4155 # 1504
4155 - 1380 164
4167 # 1504
4167 - 1380 176
4172 + 52
4175 # 1504
4175 - 1380 182
4186 # 1504
4186 - 1380 191
4186 - 280 187
4186 # 1504
4186 - 1380 187
4235 # 1504
4235 - 1380 236
4235 # 1504
4235 - 1380 234
4235 # 1504
4235 - 1380 232
4236 # 1504
4236 - 1380 232
4287 # 1504
4287 - 1380 281
4287 - 280 277
4287 # 1504
4287 - 1380 277
4287 # 1504
4287 - 1380 277
4288 # 1504
4288 - 1380 276
4288 # 1504
4288 - 1380 271
4295 # 1504
4295 - 1380 278
4306 # 1504
4306 - 1380 289
4306 - 280 287
4314 # 1504
4314 - 1380 295
4325 # 1504
4325 - 1380 304
4325 - 1380 301
4334 # 1504
4334 - 1380 310
4346 # 1504
4346 - 1380 320
4346 + 1380
4346 + 1380
4353 + 280
4353 + 1380
4354 # 1504
4354 - 1380 326
4354 - 280 322
4354 # 1504
4354 - 1380 322
4366 # 1504
4366 - 1380 334
4374 # 1504
4374 - 1380 339
4375 + 1380
4375 + 1380
4382 + 1380
4390 + 1380
4397 + 1380
4397 + 280
4426 # 1504
4426 - 1380 388
4426 - 52 254
4435 # 1504
4435 - 1380 89
4446 # 1504
4446 - 1380 100
4446 - 280 93
4446 # 1504
4446 - 1380 93
4455 # 1504
4455 - 1380 80
4460 + 1380
4460 + 1380
4467 + 120
4467 + 1380
4474 + 1380
4474 + 1380
4506 # 1504
4506 - 1380 131
4506 # 1504
4506 - 1380 124
4515 # 1504
4515 - 1380 125
4515 # 1504
4515 - 1380 118
4515 - 280 118
4515 # 1504
4515 - 1380 55
4523 + 1380
4526 # 1504
4526 - 1380 66
4526 - 120 59
4530 + 280
4530 + 1380
4535 # 1504
4535 - 1380 68
4537 + 1380
4537 + 1380
4544 + 1380
4545 # 1504
4545 - 1380 71
4545 # 1504
4545 - 1380 71
4545 - 1380 22
4551 + 1380
4551 + 1380
4555 # 1504
4555 - 280 25
4558 + 280
4558 + 1380
4569 + 1380
4569 + 1380
4569 + 1380
4606 # 1504
4606 - 1380 76
4606 - 1380 69
4606 # 1504
4606 - 1380 69
4606 # 1504
4606 - 1380 62
4611 # 1504
4611 - 1380 60
4612 # 1504
4612 - 1380 61
4612 - 280 54
4624 + 1380
4632 + 1380
4632 + 280
4632 + 1380
4639 + 1380
4646 + 1380
4646 + 1380
4653 + 1380
4655 # 1504
4655 - 1380 97
4660 + 1380
4660 + 280
4660 + 1380
4666 # 1504
4666 - 1380 97
4666 # 1504
4666 - 1380 97
4666 # 1504
4666 - 1380 97
4667 + 1380
4674 + 1380
4674 + 1380
4676 # 1504
4676 - 1380 52
4685 + 1380
4685 + 1380
4686 # 1504
4686 - 1380 54
4686 - 280 54
4686 # 1504
4686 - 1380 54
4735 # 1504
4735 - 1380 96
4735 # 1504
4735 - 1380 89
4735 # 1504
4735 - 1380 89
4736 # 1504
4736 - 1380 83
4736 - 1380 76
4747 # 1504
4747 - 280 87
4747 # 1504
4747 - 1380 87
4755 # 1504
4755 - 1380 88
4755 - 1380 81
4759 + 280
4759 + 1380
4766 # 1504
4766 - 1380 92
4775 # 1504
4775 - 1380 90
4775 + 1380
4785 # 1504
4785 - 1380 100
4785 - 280 26
4786 + 1380
4795 # 1504
4795 - 1380 36
4797 + 1380
4797 + 1380
4805 # 1504
4805 - 1380 30
4805 # 1504
4805 - 1380 19
4807 + 1380
4815 # 1504
4815 - 1380 18
4819 + 280
4819 + 1380
4825 # 1504
4825 - 1380 28
4827 + 1380
4834 + 1380
4844 + 1380
4853 + 1380
4862 + 1380
4872 + 280
4872 + 1380
4875 # 1504
4875 - 1380 68
4875 - 280 56
4875 # 1504
4875 - 1380 56
4882 + 1380
4891 + 1380
4895 # 1504
4895 - 1380 68
4895 # 1504
4895 - 1380 61
4902 + 1380
4906 # 1504
4906 - 1380 62
4906 # 1504
4906 - 1380 53
4912 + 1380
4915 # 1504
4915 - 1380 53
4915 - 280 43
4923 + 1380
4926 # 1504
4926 - 1380 54
4933 + 280
4933 + 1380
4935 # 1504
4935 - 1380 53
4943 + 1380
4945 # 1504
4945 - 1380 54
4945 - 1380 43
4946 # 1504
4946 - 1380 34
4955 # 1504
4955 - 1380 32
4955 - 280 22
4956 + 1380
4966 + 1380
4967 + 120
4977 + 1380
4977 + 1380
4987 + 280
4998 + 1380
4998 + 1380
5006 # 1504
5006 - 1380 73
5006 # 1504
5006 - 1380 63
5006 # 1504
5006 - 1380 50
5008 + 1380
5019 + 1380
5029 + 1380
5035 # 1504
5035 - 1380 69
5035 - 120 68
5035 # 1504
5035 - 1380 58
5035 # 1504
5035 - 1380 58
5035 - 280 48
5036 # 1504
5036 - 1380 38
5043 + 1380
5046 # 1504
5046 - 1380 48
5053 + 280
5053 + 1380
5063 + 1380
5077 + 1380
5087 + 1380
5095 # 1504
5095 - 1380 87
5095 # 1504
5095 - 1380 76
5095 # 1504
5095 - 1380 66
5096 # 1504
5096 - 1380 53
5096 - 280 43
5098 + 1380
5098 + 1380
5108 + 280
5123 + 1380
5123 + 1380
5126 # 1504
5126 - 1380 73
5130 # 1504
5130 - 1380 67
5131 # 1504
5131 - 1380 54
5134 + 1380
5134 + 1380
5135 # 1504
5135 - 1380 48
5135 - 1380 37
5145 + 1380
5146 # 1504
5146 - 1380 48
5146 # 1504
5146 - 280 38
5153 + 1380
5155 # 1504
5155 - 1380 32
5155 - 1380 32
5163 + 280
5163 + 1380
5163 + 1380
5166 # 1504
5166 - 1380 32
5171 + 1380
5175 # 1504
5175 - 1380 41
5178 + 1380
5186 + 1380
5193 + 1380
5201 + 280
