Time,Throughput
3.0,1.079808
3.5,2.405376
4.0,3.301568
4.5,2.175616
5.0,1.331008
5.5,1.498688
6.0,1.49184
6.5,1.654016
7.0,1.674304
7.5,1.652672
8.0,1.651328
8.5,1.585088
9.0,1.055296
9.5,1.3392
10.0,1.632384
10.5,1.353984
11.0,1.35264
11.5,1.356672
12.0,1.359488
12.5,1.35264
13.0,1.329664
13.5,1.356672
14.0,1.016192
14.5,1.029632
15.0,1.560768
15.5,1.35264
16.0,1.358144
16.5,1.356672
17.0,1.353984
17.5,1.35264
18.0,1.353984
18.5,1.362176
19.0,1.336512
19.5,1.333824
20.0,1.327104
20.5,1.315008
21.0,1.327104
21.5,1.333824
22.0,1.327104
22.5,1.33248
23.0,1.332608
23.5,1.335168
24.0,1.327104
24.5,1.516288
25.0,1.12032
25.5,1.337984
26.0,1.327104
26.5,1.309504
27.0,1.327104
27.5,1.339328
28.0,1.327104
28.5,1.333824
29.0,1.573056
29.5,1.348608
30.0,1.358144
30.5,1.35936
31.0,1.355328
31.5,1.353984
32.0,1.364864
32.5,1.355328
33.0,0.04864
